idg,pid,gender,variable,value
1,98.0,H,Attractive,10.0
5,98.0,H,Attractive,10.0
35,98.0,H,Attractive,10.0
33,98.0,H,Attractive,10.0
17,98.0,H,Attractive,10.0
11,98.0,H,Attractive,10.0
33,99.0,H,Attractive,6.0
11,99.0,H,Attractive,8.0
1,99.0,H,Attractive,4.0
17,99.0,H,Attractive,4.0
3,99.0,H,Attractive,8.0
35,99.0,H,Attractive,5.0
5,99.0,H,Attractive,4.0
3,100.0,H,Attractive,8.0
33,100.0,H,Attractive,9.0
5,100.0,H,Attractive,8.0
1,100.0,H,Attractive,4.0
11,100.0,H,Attractive,9.0
35,100.0,H,Attractive,8.0
17,100.0,H,Attractive,5.0
17,101.0,H,Attractive,8.0
11,101.0,H,Attractive,8.0
3,101.0,H,Attractive,7.0
5,101.0,H,Attractive,7.0
1,101.0,H,Attractive,7.0
35,101.0,H,Attractive,9.0
33,101.0,H,Attractive,9.0
35,102.0,H,Attractive,7.0
17,102.0,H,Attractive,9.0
11,102.0,H,Attractive,10.0
5,102.0,H,Attractive,5.0
3,102.0,H,Attractive,4.0
33,102.0,H,Attractive,7.0
1,102.0,H,Attractive,5.0
33,103.0,H,Attractive,6.0
3,103.0,H,Attractive,6.0
5,103.0,H,Attractive,6.0
11,103.0,H,Attractive,8.0
35,103.0,H,Attractive,6.0
17,103.0,H,Attractive,7.0
1,103.0,H,Attractive,6.0
3,104.0,H,Attractive,6.0
35,104.0,H,Attractive,7.0
5,104.0,H,Attractive,6.0
11,104.0,H,Attractive,8.0
33,104.0,H,Attractive,9.0
17,104.0,H,Attractive,6.0
1,104.0,H,Attractive,6.0
3,105.0,H,Attractive,8.0
33,105.0,H,Attractive,8.0
35,105.0,H,Attractive,8.0
11,105.0,H,Attractive,8.0
1,105.0,H,Attractive,7.0
5,105.0,H,Attractive,5.0
17,105.0,H,Attractive,7.0
11,106.0,H,Attractive,9.0
1,106.0,H,Attractive,8.0
35,106.0,H,Attractive,9.0
17,106.0,H,Attractive,10.0
3,106.0,H,Attractive,7.0
33,106.0,H,Attractive,6.0
5,106.0,H,Attractive,10.0
11,107.0,H,Attractive,10.0
35,107.0,H,Attractive,7.5
3,107.0,H,Attractive,6.0
1,107.0,H,Attractive,9.0
5,107.0,H,Attractive,6.5
33,107.0,H,Attractive,9.0
17,107.0,H,Attractive,7.0
11,108.0,H,Attractive,8.0
5,108.0,H,Attractive,7.0
17,108.0,H,Attractive,7.0
3,108.0,H,Attractive,9.0
33,108.0,H,Attractive,8.0
35,108.0,H,Attractive,8.0
1,108.0,H,Attractive,7.0
33,109.0,H,Attractive,9.0
35,109.0,H,Attractive,7.0
5,109.0,H,Attractive,7.0
11,109.0,H,Attractive,8.0
17,109.0,H,Attractive,7.0
3,109.0,H,Attractive,7.0
1,109.0,H,Attractive,8.0
3,110.0,H,Attractive,6.0
1,110.0,H,Attractive,6.0
35,110.0,H,Attractive,5.0
5,110.0,H,Attractive,5.0
17,110.0,H,Attractive,8.0
11,110.0,H,Attractive,5.0
33,110.0,H,Attractive,9.0
33,111.0,H,Attractive,7.0
35,111.0,H,Attractive,5.0
5,111.0,H,Attractive,4.0
1,111.0,H,Attractive,3.0
11,111.0,H,Attractive,4.0
3,111.0,H,Attractive,6.0
17,111.0,H,Attractive,2.0
10,112.0,F,Attractive,5.0
2,112.0,F,Attractive,7.0
10,113.0,F,Attractive,6.0
2,113.0,F,Attractive,8.0
2,114.0,F,Attractive,7.0
10,114.0,F,Attractive,5.0
2,115.0,F,Attractive,10.0
10,115.0,F,Attractive,6.0
10,116.0,F,Attractive,6.0
2,116.0,F,Attractive,10.0
2,117.0,F,Attractive,10.0
10,117.0,F,Attractive,6.0
10,119.0,F,Attractive,5.0
2,119.0,F,Attractive,3.0
2,120.0,F,Attractive,7.0
10,120.0,F,Attractive,8.0
2,121.0,F,Attractive,8.0
10,121.0,F,Attractive,8.0
9,122.0,H,Attractive,10.0
3,122.0,H,Attractive,10.0
3,123.0,H,Attractive,6.0
9,123.0,H,Attractive,6.0
9,124.0,H,Attractive,5.0
3,124.0,H,Attractive,7.0
3,125.0,H,Attractive,8.0
9,125.0,H,Attractive,10.0
3,126.0,H,Attractive,6.0
9,126.0,H,Attractive,7.0
9,127.0,H,Attractive,7.0
3,127.0,H,Attractive,5.0
9,128.0,H,Attractive,7.0
3,128.0,H,Attractive,7.0
9,129.0,H,Attractive,7.0
3,129.0,H,Attractive,7.0
9,130.0,H,Attractive,3.0
3,130.0,H,Attractive,3.0
9,131.0,H,Attractive,5.0
3,131.0,H,Attractive,5.0
7,137.0,H,Attractive,7.0
7,138.0,H,Attractive,4.0
7,139.0,H,Attractive,6.0
7,140.0,H,Attractive,6.5
7,141.0,H,Attractive,8.0
16,142.0,F,Attractive,6.0
28,142.0,F,Attractive,4.0
12,142.0,F,Attractive,6.0
18,142.0,F,Attractive,8.0
18,143.0,F,Attractive,9.0
28,143.0,F,Attractive,8.0
12,143.0,F,Attractive,9.0
16,143.0,F,Attractive,10.0
16,144.0,F,Attractive,7.0
18,144.0,F,Attractive,7.0
28,144.0,F,Attractive,5.0
12,144.0,F,Attractive,6.0
18,145.0,F,Attractive,7.0
16,145.0,F,Attractive,8.0
28,145.0,F,Attractive,9.0
12,145.0,F,Attractive,9.0
18,146.0,F,Attractive,5.0
16,146.0,F,Attractive,8.0
28,146.0,F,Attractive,8.0
12,146.0,F,Attractive,6.0
16,147.0,F,Attractive,7.0
18,147.0,F,Attractive,8.0
12,147.0,F,Attractive,7.0
28,147.0,F,Attractive,4.0
16,148.0,F,Attractive,6.0
18,148.0,F,Attractive,7.0
28,148.0,F,Attractive,4.0
12,148.0,F,Attractive,7.0
18,149.0,F,Attractive,8.0
28,149.0,F,Attractive,6.0
12,149.0,F,Attractive,5.0
16,149.0,F,Attractive,8.0
18,150.0,F,Attractive,6.0
28,150.0,F,Attractive,6.0
16,150.0,F,Attractive,9.0
12,150.0,F,Attractive,7.0
16,151.0,F,Attractive,8.0
28,151.0,F,Attractive,5.0
12,151.0,F,Attractive,7.0
18,151.0,F,Attractive,6.0
28,152.0,F,Attractive,6.0
12,152.0,F,Attractive,7.0
18,152.0,F,Attractive,5.0
16,152.0,F,Attractive,8.0
12,153.0,F,Attractive,8.0
28,153.0,F,Attractive,6.0
16,153.0,F,Attractive,5.0
18,153.0,F,Attractive,4.0
28,154.0,F,Attractive,8.0
12,154.0,F,Attractive,9.0
18,154.0,F,Attractive,9.0
16,154.0,F,Attractive,7.0
28,155.0,F,Attractive,4.0
12,155.0,F,Attractive,6.0
18,155.0,F,Attractive,8.0
16,155.0,F,Attractive,7.0
18,156.0,F,Attractive,7.0
16,156.0,F,Attractive,8.0
12,156.0,F,Attractive,6.0
28,156.0,F,Attractive,5.0
18,157.0,F,Attractive,6.0
16,157.0,F,Attractive,6.0
12,157.0,F,Attractive,5.0
28,157.0,F,Attractive,5.0
11,158.0,H,Attractive,9.0
15,158.0,H,Attractive,9.0
17,158.0,H,Attractive,10.0
19,158.0,H,Attractive,10.0
25,158.0,H,Attractive,9.0
23,158.0,H,Attractive,7.0
11,159.0,H,Attractive,6.0
25,159.0,H,Attractive,7.0
15,159.0,H,Attractive,8.0
17,159.0,H,Attractive,8.0
23,159.0,H,Attractive,7.0
19,159.0,H,Attractive,8.0
19,160.0,H,Attractive,8.0
17,160.0,H,Attractive,7.0
25,160.0,H,Attractive,8.0
15,160.0,H,Attractive,6.0
23,160.0,H,Attractive,7.0
11,160.0,H,Attractive,8.0
19,161.0,H,Attractive,10.0
23,161.0,H,Attractive,7.0
17,161.0,H,Attractive,8.0
11,161.0,H,Attractive,7.0
25,161.0,H,Attractive,9.0
15,161.0,H,Attractive,7.0
23,162.0,H,Attractive,5.0
15,162.0,H,Attractive,8.0
17,162.0,H,Attractive,6.0
11,162.0,H,Attractive,5.0
19,162.0,H,Attractive,8.0
25,162.0,H,Attractive,7.0
19,163.0,H,Attractive,8.0
17,163.0,H,Attractive,9.0
15,163.0,H,Attractive,8.0
11,163.0,H,Attractive,7.0
23,163.0,H,Attractive,8.0
25,163.0,H,Attractive,8.0
11,164.0,H,Attractive,9.0
17,164.0,H,Attractive,9.0
25,164.0,H,Attractive,8.0
19,164.0,H,Attractive,9.0
23,164.0,H,Attractive,7.0
15,164.0,H,Attractive,6.0
19,165.0,H,Attractive,10.0
25,165.0,H,Attractive,10.0
11,165.0,H,Attractive,7.0
15,165.0,H,Attractive,9.0
23,165.0,H,Attractive,7.0
17,165.0,H,Attractive,8.0
17,166.0,H,Attractive,5.0
15,166.0,H,Attractive,7.0
25,166.0,H,Attractive,7.0
23,166.0,H,Attractive,6.0
11,166.0,H,Attractive,8.0
19,166.0,H,Attractive,8.0
25,167.0,H,Attractive,5.0
11,167.0,H,Attractive,3.0
23,167.0,H,Attractive,4.0
15,167.0,H,Attractive,6.0
19,167.0,H,Attractive,8.0
17,167.0,H,Attractive,7.0
19,168.0,H,Attractive,9.0
23,168.0,H,Attractive,7.0
25,168.0,H,Attractive,8.0
11,168.0,H,Attractive,4.0
15,168.0,H,Attractive,5.0
17,168.0,H,Attractive,8.0
17,169.0,H,Attractive,7.0
19,169.0,H,Attractive,9.0
11,169.0,H,Attractive,10.0
15,169.0,H,Attractive,9.0
23,169.0,H,Attractive,9.0
25,169.0,H,Attractive,10.0
15,170.0,H,Attractive,7.0
23,170.0,H,Attractive,5.0
17,170.0,H,Attractive,6.0
11,170.0,H,Attractive,7.0
25,170.0,H,Attractive,6.0
19,170.0,H,Attractive,8.0
25,171.0,H,Attractive,9.0
11,171.0,H,Attractive,5.0
15,171.0,H,Attractive,8.0
17,171.0,H,Attractive,7.0
19,171.0,H,Attractive,9.0
23,171.0,H,Attractive,6.0
17,172.0,H,Attractive,4.0
23,172.0,H,Attractive,4.0
15,172.0,H,Attractive,6.0
25,172.0,H,Attractive,7.0
11,172.0,H,Attractive,8.0
19,172.0,H,Attractive,8.0
23,173.0,H,Attractive,5.0
25,173.0,H,Attractive,6.0
17,173.0,H,Attractive,7.0
15,173.0,H,Attractive,8.0
11,173.0,H,Attractive,5.0
19,173.0,H,Attractive,9.0
6,174.0,F,Attractive,5.0
2,174.0,F,Attractive,5.0
6,175.0,F,Attractive,2.0
2,175.0,F,Attractive,7.0
6,176.0,F,Attractive,7.0
2,176.0,F,Attractive,7.0
2,177.0,F,Attractive,5.0
6,177.0,F,Attractive,2.0
6,178.0,F,Attractive,5.0
2,178.0,F,Attractive,5.0
6,179.0,F,Attractive,4.0
2,179.0,F,Attractive,3.0
2,180.0,F,Attractive,7.0
6,180.0,F,Attractive,6.0
6,181.0,F,Attractive,8.0
2,181.0,F,Attractive,8.0
6,182.0,F,Attractive,6.0
2,182.0,F,Attractive,7.0
2,183.0,F,Attractive,8.0
6,183.0,F,Attractive,8.0
13,184.0,H,Attractive,10.0
13,185.0,H,Attractive,9.0
13,186.0,H,Attractive,7.0
13,187.0,H,Attractive,
13,188.0,H,Attractive,8.0
13,189.0,H,Attractive,6.0
13,190.0,H,Attractive,7.0
13,191.0,H,Attractive,7.0
13,192.0,H,Attractive,7.0
13,193.0,H,Attractive,7.0
26,194.0,F,Attractive,10.0
26,195.0,F,Attractive,10.0
26,196.0,F,Attractive,5.0
26,197.0,F,Attractive,7.0
26,198.0,F,Attractive,8.0
26,199.0,F,Attractive,8.0
26,200.0,F,Attractive,7.0
26,201.0,F,Attractive,9.0
26,202.0,F,Attractive,9.0
26,203.0,F,Attractive,10.0
26,204.0,F,Attractive,9.0
26,205.0,F,Attractive,9.0
26,206.0,F,Attractive,7.0
26,207.0,F,Attractive,10.0
26,208.0,F,Attractive,9.0
26,209.0,F,Attractive,8.0
26,210.0,F,Attractive,10.0
26,211.0,F,Attractive,10.0
26,212.0,F,Attractive,8.0
26,213.0,F,Attractive,9.0
3,214.0,H,Attractive,9.0
11,214.0,H,Attractive,8.0
17,214.0,H,Attractive,9.0
37,214.0,H,Attractive,9.0
25,214.0,H,Attractive,7.0
37,215.0,H,Attractive,6.0
25,215.0,H,Attractive,6.0
17,215.0,H,Attractive,3.0
3,215.0,H,Attractive,5.0
11,215.0,H,Attractive,5.0
11,216.0,H,Attractive,8.0
37,216.0,H,Attractive,9.0
17,216.0,H,Attractive,9.0
3,216.0,H,Attractive,7.0
25,216.0,H,Attractive,5.0
25,217.0,H,Attractive,3.0
3,217.0,H,Attractive,6.0
37,217.0,H,Attractive,6.0
17,217.0,H,Attractive,5.0
11,217.0,H,Attractive,9.0
3,218.0,H,Attractive,6.0
37,218.0,H,Attractive,6.0
17,218.0,H,Attractive,6.0
11,218.0,H,Attractive,4.0
25,218.0,H,Attractive,5.0
11,219.0,H,Attractive,6.0
17,219.0,H,Attractive,4.0
3,219.0,H,Attractive,7.0
25,219.0,H,Attractive,5.0
37,219.0,H,Attractive,8.0
11,220.0,H,Attractive,8.0
3,220.0,H,Attractive,8.0
25,220.0,H,Attractive,10.0
37,220.0,H,Attractive,6.0
17,220.0,H,Attractive,8.0
3,221.0,H,Attractive,7.0
11,221.0,H,Attractive,8.0
37,221.0,H,Attractive,5.0
17,221.0,H,Attractive,8.0
25,221.0,H,Attractive,6.0
17,222.0,H,Attractive,6.0
37,222.0,H,Attractive,8.0
25,222.0,H,Attractive,6.0
3,222.0,H,Attractive,6.0
11,222.0,H,Attractive,10.0
25,223.0,H,Attractive,10.0
3,223.0,H,Attractive,6.0
37,223.0,H,Attractive,9.0
11,223.0,H,Attractive,9.0
17,223.0,H,Attractive,6.0
11,224.0,H,Attractive,8.0
17,224.0,H,Attractive,7.0
25,224.0,H,Attractive,6.0
37,224.0,H,Attractive,8.0
3,224.0,H,Attractive,7.0
11,225.0,H,Attractive,5.0
25,225.0,H,Attractive,6.0
37,225.0,H,Attractive,3.0
17,225.0,H,Attractive,4.0
3,225.0,H,Attractive,6.0
3,226.0,H,Attractive,6.0
37,226.0,H,Attractive,8.0
11,226.0,H,Attractive,7.0
17,226.0,H,Attractive,4.0
25,226.0,H,Attractive,6.0
3,227.0,H,Attractive,6.0
17,227.0,H,Attractive,4.0
11,227.0,H,Attractive,8.0
25,227.0,H,Attractive,4.0
37,227.0,H,Attractive,6.0
37,228.0,H,Attractive,7.0
25,228.0,H,Attractive,7.0
17,228.0,H,Attractive,4.0
3,228.0,H,Attractive,6.0
11,228.0,H,Attractive,6.0
3,229.0,H,Attractive,8.0
37,229.0,H,Attractive,4.0
11,229.0,H,Attractive,5.0
25,229.0,H,Attractive,3.0
17,229.0,H,Attractive,2.0
17,230.0,H,Attractive,7.0
11,230.0,H,Attractive,8.0
37,230.0,H,Attractive,7.0
25,230.0,H,Attractive,6.0
3,230.0,H,Attractive,8.0
17,231.0,H,Attractive,6.0
25,231.0,H,Attractive,5.0
3,231.0,H,Attractive,6.0
11,231.0,H,Attractive,9.0
37,231.0,H,Attractive,6.0
11,232.0,H,Attractive,6.0
37,232.0,H,Attractive,10.0
25,232.0,H,Attractive,6.0
3,232.0,H,Attractive,7.0
17,232.0,H,Attractive,6.0
11,233.0,H,Attractive,9.0
25,233.0,H,Attractive,7.0
3,233.0,H,Attractive,6.0
37,233.0,H,Attractive,8.0
17,233.0,H,Attractive,7.0
18,234.0,F,Attractive,5.0
4,234.0,F,Attractive,7.0
8,234.0,F,Attractive,4.0
12,234.0,F,Attractive,5.0
8,235.0,F,Attractive,3.0
18,235.0,F,Attractive,5.0
12,235.0,F,Attractive,7.0
4,235.0,F,Attractive,6.0
4,236.0,F,Attractive,7.0
8,236.0,F,Attractive,4.0
18,236.0,F,Attractive,5.0
12,236.0,F,Attractive,7.0
12,237.0,F,Attractive,7.0
4,237.0,F,Attractive,7.0
18,237.0,F,Attractive,2.0
8,237.0,F,Attractive,2.0
8,238.0,F,Attractive,7.0
12,238.0,F,Attractive,9.0
18,238.0,F,Attractive,6.0
4,238.0,F,Attractive,8.0
18,239.0,F,Attractive,5.0
12,239.0,F,Attractive,8.0
4,239.0,F,Attractive,7.0
8,239.0,F,Attractive,5.0
12,240.0,F,Attractive,5.0
4,240.0,F,Attractive,7.0
8,240.0,F,Attractive,4.0
18,240.0,F,Attractive,5.0
12,241.0,F,Attractive,10.0
8,241.0,F,Attractive,4.0
4,241.0,F,Attractive,5.0
18,241.0,F,Attractive,7.0
4,242.0,F,Attractive,3.0
8,242.0,F,Attractive,4.0
18,242.0,F,Attractive,3.0
12,242.0,F,Attractive,5.0
9,243.0,H,Attractive,6.0
3,243.0,H,Attractive,8.0
17,243.0,H,Attractive,7.0
17,244.0,H,Attractive,8.0
3,244.0,H,Attractive,9.0
9,244.0,H,Attractive,8.0
3,245.0,H,Attractive,7.0
9,245.0,H,Attractive,6.0
17,245.0,H,Attractive,9.0
3,246.0,H,Attractive,6.0
9,246.0,H,Attractive,6.0
17,246.0,H,Attractive,8.0
3,247.0,H,Attractive,8.0
17,247.0,H,Attractive,8.0
9,247.0,H,Attractive,6.0
9,248.0,H,Attractive,6.0
17,248.0,H,Attractive,8.0
3,248.0,H,Attractive,7.0
3,249.0,H,Attractive,9.0
9,249.0,H,Attractive,9.0
17,249.0,H,Attractive,9.0
17,250.0,H,Attractive,7.0
9,250.0,H,Attractive,8.0
3,250.0,H,Attractive,9.0
17,251.0,H,Attractive,8.0
3,251.0,H,Attractive,8.0
9,251.0,H,Attractive,5.0
34,252.0,F,Attractive,2.0
32,252.0,F,Attractive,1.0
24,252.0,F,Attractive,2.0
16,252.0,F,Attractive,1.0
10,252.0,F,Attractive,2.0
8,252.0,F,Attractive,2.0
4,252.0,F,Attractive,4.0
2,252.0,F,Attractive,6.0
2,253.0,F,Attractive,5.0
4,253.0,F,Attractive,6.0
8,253.0,F,Attractive,6.0
32,253.0,F,Attractive,5.0
16,253.0,F,Attractive,5.0
34,253.0,F,Attractive,7.0
24,253.0,F,Attractive,7.0
10,253.0,F,Attractive,7.0
32,254.0,F,Attractive,5.0
24,254.0,F,Attractive,6.0
10,254.0,F,Attractive,9.0
2,254.0,F,Attractive,6.0
8,254.0,F,Attractive,8.0
34,254.0,F,Attractive,5.0
16,254.0,F,Attractive,5.0
4,254.0,F,Attractive,4.0
10,255.0,F,Attractive,6.0
24,255.0,F,Attractive,6.0
8,255.0,F,Attractive,6.0
32,255.0,F,Attractive,6.0
34,255.0,F,Attractive,6.0
4,255.0,F,Attractive,6.0
2,255.0,F,Attractive,6.0
16,255.0,F,Attractive,6.0
8,256.0,F,Attractive,6.0
16,256.0,F,Attractive,6.0
2,256.0,F,Attractive,7.0
4,256.0,F,Attractive,6.0
32,256.0,F,Attractive,6.0
34,256.0,F,Attractive,7.0
10,256.0,F,Attractive,6.0
24,256.0,F,Attractive,7.0
34,257.0,F,Attractive,5.0
8,257.0,F,Attractive,3.0
32,257.0,F,Attractive,4.0
16,257.0,F,Attractive,3.0
10,257.0,F,Attractive,5.0
4,257.0,F,Attractive,5.0
2,257.0,F,Attractive,5.0
24,257.0,F,Attractive,6.0
24,258.0,F,Attractive,6.0
32,258.0,F,Attractive,6.0
34,258.0,F,Attractive,9.0
4,258.0,F,Attractive,8.0
2,258.0,F,Attractive,5.0
10,258.0,F,Attractive,8.0
16,258.0,F,Attractive,5.0
8,258.0,F,Attractive,7.0
16,259.0,F,Attractive,5.0
4,259.0,F,Attractive,5.0
32,259.0,F,Attractive,7.0
24,259.0,F,Attractive,7.0
2,259.0,F,Attractive,7.0
10,259.0,F,Attractive,7.0
34,259.0,F,Attractive,7.0
8,259.0,F,Attractive,7.0
32,260.0,F,Attractive,8.0
34,260.0,F,Attractive,7.0
10,260.0,F,Attractive,9.0
16,260.0,F,Attractive,7.0
2,260.0,F,Attractive,5.0
4,260.0,F,Attractive,6.0
24,260.0,F,Attractive,7.0
8,260.0,F,Attractive,7.0
2,261.0,F,Attractive,6.0
8,261.0,F,Attractive,8.0
24,261.0,F,Attractive,3.0
10,261.0,F,Attractive,8.0
34,261.0,F,Attractive,6.0
4,261.0,F,Attractive,5.0
32,261.0,F,Attractive,7.0
16,261.0,F,Attractive,4.0
2,262.0,F,Attractive,9.0
8,262.0,F,Attractive,7.0
4,262.0,F,Attractive,7.0
10,262.0,F,Attractive,8.0
24,262.0,F,Attractive,8.0
32,262.0,F,Attractive,9.0
34,262.0,F,Attractive,8.0
16,262.0,F,Attractive,6.0
24,263.0,F,Attractive,6.0
8,263.0,F,Attractive,5.0
4,263.0,F,Attractive,8.0
2,263.0,F,Attractive,8.0
32,263.0,F,Attractive,5.0
34,263.0,F,Attractive,6.0
10,263.0,F,Attractive,8.0
16,263.0,F,Attractive,6.0
4,264.0,F,Attractive,6.0
16,264.0,F,Attractive,5.0
34,264.0,F,Attractive,6.0
32,264.0,F,Attractive,8.0
2,264.0,F,Attractive,3.0
8,264.0,F,Attractive,5.0
10,264.0,F,Attractive,6.0
24,264.0,F,Attractive,7.0
4,265.0,F,Attractive,5.0
2,265.0,F,Attractive,6.0
32,265.0,F,Attractive,6.0
34,265.0,F,Attractive,6.0
16,265.0,F,Attractive,8.0
10,265.0,F,Attractive,5.0
8,265.0,F,Attractive,6.0
24,265.0,F,Attractive,8.0
24,266.0,F,Attractive,6.0
8,266.0,F,Attractive,4.0
2,266.0,F,Attractive,5.0
34,266.0,F,Attractive,7.0
32,266.0,F,Attractive,6.0
4,266.0,F,Attractive,4.0
10,266.0,F,Attractive,4.0
16,266.0,F,Attractive,3.0
10,267.0,F,Attractive,6.0
34,267.0,F,Attractive,5.0
16,267.0,F,Attractive,4.0
8,267.0,F,Attractive,5.0
32,267.0,F,Attractive,5.0
4,267.0,F,Attractive,4.0
24,267.0,F,Attractive,3.0
2,267.0,F,Attractive,4.0
34,268.0,F,Attractive,5.0
32,268.0,F,Attractive,7.0
24,268.0,F,Attractive,8.0
2,268.0,F,Attractive,9.0
10,268.0,F,Attractive,7.0
4,268.0,F,Attractive,8.0
16,268.0,F,Attractive,5.0
8,268.0,F,Attractive,7.0
16,269.0,F,Attractive,5.0
8,269.0,F,Attractive,6.0
32,269.0,F,Attractive,7.0
4,269.0,F,Attractive,8.0
10,269.0,F,Attractive,8.0
2,269.0,F,Attractive,6.0
24,269.0,F,Attractive,6.0
34,269.0,F,Attractive,8.0
10,270.0,F,Attractive,5.0
8,270.0,F,Attractive,7.0
24,270.0,F,Attractive,5.0
2,270.0,F,Attractive,5.0
4,270.0,F,Attractive,4.0
34,270.0,F,Attractive,6.0
32,270.0,F,Attractive,6.0
16,270.0,F,Attractive,6.0
