iid,wave,gender,age,race,field_cd,race_p,field_cd_p,match,attr1_1,sinc1_1,fun1_1,amb1_1,shar1_1
16,1,1,25.0,European,Business,2.0,1.0,0,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,2.0,1.0,0,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,4.0,1.0,0,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,4.0,1.0,0,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,2.0,13.0,1,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,6.0,13.0,1,50,0,10,0.0,10.0
16,1,1,25.0,European,Business,2.0,13.0,0,50,0,10,0.0,10.0
17,1,1,30.0,European,Political Science,4.0,1.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,2.0,1.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,2.0,2.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,2.0,1.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,2.0,1.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,4.0,1.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,4.0,1.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,2.0,13.0,0,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,6.0,13.0,1,35,15,10,5.0,10.0
17,1,1,30.0,European,Political Science,2.0,13.0,0,35,15,10,5.0,10.0
18,1,1,27.0,European,Business,4.0,1.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,2.0,1.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,2.0,2.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,2.0,1.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,2.0,1.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,4.0,1.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,4.0,1.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,2.0,13.0,1,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,6.0,13.0,0,33,11,11,11.11,22.22
18,1,1,27.0,European,Business,2.0,13.0,0,33,11,11,11.11,22.22
19,1,1,28.0,European,Business,4.0,1.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,2.0,1.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,2.0,2.0,0,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,2.0,1.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,2.0,1.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,4.0,1.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,4.0,1.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,2.0,13.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,6.0,13.0,1,50,0,10,0.0,15.0
19,1,1,28.0,European,Business,2.0,13.0,1,50,0,10,0.0,15.0
20,1,1,24.0,European,Business,4.0,1.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,2.0,1.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,2.0,2.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,2.0,1.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,2.0,1.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,4.0,1.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,4.0,1.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,2.0,13.0,1,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,6.0,13.0,0,100,0,0,0.0,0.0
20,1,1,24.0,European,Business,2.0,13.0,0,100,0,0,0.0,0.0
41,2,1,30.0,Asian,Law,4.0,5.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,1.0,9.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,4.0,3.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,11.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,11.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,11.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,3.0,3.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,3.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,11.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,1.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,1.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,4.0,3.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,3.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,4.0,8.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,2.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,2.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,2.0,3.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,1.0,1.0,0,30,20,30,0.0,10.0
41,2,1,30.0,Asian,Law,3.0,1.0,0,30,20,30,0.0,10.0
42,2,1,23.0,Asian,Engineering,4.0,5.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,1.0,9.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,4.0,3.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,11.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,11.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,11.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,3.0,3.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,3.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,11.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,1.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,1.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,4.0,3.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,3.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,4.0,8.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,2.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,2.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,2.0,3.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,1.0,1.0,0,20,25,15,10.0,10.0
42,2,1,23.0,Asian,Engineering,3.0,1.0,0,20,25,15,10.0,10.0
43,2,1,24.0,European,Business,4.0,5.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,1.0,9.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,4.0,3.0,1,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,11.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,11.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,11.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,3.0,3.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,3.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,11.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,1.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,1.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,4.0,3.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,3.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,4.0,8.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,2.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,2.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,2.0,3.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,1.0,1.0,0,25,35,10,0.0,0.0
43,2,1,24.0,European,Business,3.0,1.0,0,25,35,10,0.0,0.0
44,2,1,24.0,European,Social Science,4.0,5.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,1.0,9.0,1,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,4.0,3.0,1,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,11.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,11.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,11.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,3.0,3.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,3.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,11.0,1,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,1.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,1.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,4.0,3.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,3.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,4.0,8.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,2.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,2.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,2.0,3.0,1,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,1.0,1.0,0,25,15,25,15.0,15.0
44,2,1,24.0,European,Social Science,3.0,1.0,0,25,15,25,15.0,15.0
45,2,1,28.0,European,Business,4.0,5.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,1.0,9.0,1,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,4.0,3.0,1,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,11.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,11.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,11.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,3.0,3.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,3.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,11.0,1,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,1.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,1.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,4.0,3.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,3.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,4.0,8.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,2.0,1,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,2.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,2.0,3.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,1.0,1.0,0,25,15,15,0.0,20.0
45,2,1,28.0,European,Business,3.0,1.0,0,25,15,15,0.0,20.0
46,2,1,26.0,European,Business,4.0,5.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,1.0,9.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,4.0,3.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,11.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,11.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,11.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,3.0,3.0,1,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,3.0,1,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,11.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,1.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,1.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,4.0,3.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,3.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,4.0,8.0,1,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,2.0,1,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,2.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,2.0,3.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,1.0,1.0,0,20,35,10,10.0,5.0
46,2,1,26.0,European,Business,3.0,1.0,0,20,35,10,10.0,5.0
47,2,1,30.0,European,Business,4.0,5.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,1.0,9.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,4.0,3.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,11.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,11.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,11.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,3.0,3.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,3.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,11.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,1.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,1.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,4.0,3.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,3.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,4.0,8.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,2.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,2.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,2.0,3.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,1.0,1.0,0,20,20,25,5.0,5.0
47,2,1,30.0,European,Business,3.0,1.0,1,20,20,25,5.0,5.0
48,2,1,22.0,European,Undergrade,4.0,5.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,1.0,9.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,4.0,3.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,11.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,11.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,11.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,3.0,3.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,3.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,11.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,1.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,1.0,1,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,4.0,3.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,3.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,4.0,8.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,2.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,2.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,2.0,3.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,1.0,1.0,0,30,15,25,5.0,0.0
48,2,1,22.0,European,Undergrade,3.0,1.0,0,30,15,25,5.0,0.0
49,2,1,25.0,Asian,Business,4.0,5.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,1.0,9.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,4.0,3.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,11.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,11.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,11.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,3.0,3.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,3.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,11.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,1.0,1,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,1.0,1,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,4.0,3.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,3.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,4.0,8.0,1,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,2.0,1,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,2.0,1,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,2.0,3.0,0,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,1.0,1.0,1,20,20,20,5.0,15.0
49,2,1,25.0,Asian,Business,3.0,1.0,0,20,20,20,5.0,15.0
50,2,1,27.0,Black,Law,4.0,5.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,1.0,9.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,4.0,3.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,11.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,11.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,11.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,3.0,3.0,1,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,3.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,11.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,1.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,1.0,1,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,4.0,3.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,3.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,4.0,8.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,2.0,1,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,2.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,2.0,3.0,0,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,1.0,1.0,1,35,10,15,10.0,10.0
50,2,1,27.0,Black,Law,3.0,1.0,0,35,10,15,10.0,10.0
51,2,1,23.0,European,Law,4.0,5.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,1.0,9.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,4.0,3.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,11.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,11.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,11.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,3.0,3.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,3.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,11.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,1.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,1.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,4.0,3.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,3.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,4.0,8.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,2.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,2.0,1,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,2.0,3.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,1.0,1.0,0,25,10,15,0.0,15.0
51,2,1,23.0,European,Law,3.0,1.0,0,25,10,15,0.0,15.0
52,2,1,21.0,European,Law,4.0,5.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,1.0,9.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,4.0,3.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,11.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,11.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,11.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,3.0,3.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,3.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,11.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,1.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,1.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,4.0,3.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,3.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,4.0,8.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,2.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,2.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,2.0,3.0,1,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,1.0,1.0,0,15,20,30,5.0,15.0
52,2,1,21.0,European,Law,3.0,1.0,0,15,20,30,5.0,15.0
53,2,1,28.0,European,Medical Science,4.0,5.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,1.0,9.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,4.0,3.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,11.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,11.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,11.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,3.0,3.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,3.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,11.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,1.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,1.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,4.0,3.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,3.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,4.0,8.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,2.0,1,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,2.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,2.0,3.0,0,40,15,10,5.0,10.0
53,2,1,28.0,European,Medical Science,1.0,1.0,0,40,15,10,5.0,10.0
