iid,s_attr,s_sinc,s_intel,s_fun,s_amb,o_attr,o_sinc,o_intel,o_fun,o_amb
36.0,8.0,7.0,8.0,8.0,6.0,6.25,7.0,7.133333333333334,6.066666666666666,7.133333333333334
37.0,7.0,8.0,9.0,7.0,5.0,4.933333333333334,6.866666666666666,7.4,5.666666666666667,6.4
38.0,8.0,2.0,8.0,7.0,8.0,6.533333333333333,7.533333333333333,7.733333333333333,7.6,7.714285714285714
39.0,6.0,9.0,8.0,6.0,7.0,4.333333333333333,7.333333333333333,6.866666666666666,7.266666666666667,6.2
40.0,3.0,10.0,9.0,8.0,5.0,4.105263157894737,6.631578947368421,6.473684210526316,5.947368421052632,6.0
41.0,5.0,7.0,8.0,5.0,5.0,3.6842105263157894,6.473684210526316,6.666666666666667,4.0,6.631578947368421
42.0,6.0,9.0,8.0,6.0,4.0,4.947368421052632,6.052631578947368,6.888888888888889,5.7368421052631575,6.777777777777778
43.0,3.0,8.0,7.0,3.0,2.0,4.2631578947368425,6.368421052631579,6.947368421052632,4.631578947368421,6.333333333333333
44.0,7.0,9.0,9.0,8.0,9.0,4.894736842105263,6.631578947368421,6.7894736842105265,4.611111111111111,5.894736842105263
45.0,7.0,8.0,8.0,6.0,7.0,5.2105263157894735,6.2105263157894735,6.894736842105263,3.7777777777777777,6.526315789473684
46.0,7.0,8.0,7.0,5.0,7.0,7.631578947368421,6.7894736842105265,7.315789473684211,6.777777777777778,6.294117647058823
47.0,8.0,7.0,9.0,9.0,3.0,4.052631578947368,5.842105263157895,6.473684210526316,5.631578947368421,5.947368421052632
48.0,7.0,9.0,7.0,6.0,6.0,6.7368421052631575,6.2631578947368425,5.894736842105263,6.7894736842105265,5.631578947368421
49.0,7.0,10.0,10.0,10.0,8.0,6.315789473684211,7.055555555555555,7.5,6.973684210526316,7.055555555555555
50.0,8.0,9.0,10.0,9.0,8.0,6.315789473684211,6.578947368421052,7.388888888888889,7.631578947368421,7.666666666666667
51.0,6.0,8.0,10.0,2.0,2.0,5.368421052631579,4.868421052631579,6.473684210526316,4.2105263157894735,6.078947368421052
52.0,5.0,8.0,8.0,6.0,7.0,3.8333333333333335,6.647058823529412,7.176470588235294,5.111111111111111,6.444444444444445
53.0,8.0,9.0,8.0,8.0,8.0,6.888888888888889,7.0,7.705882352941177,5.611111111111111,7.277777777777778
54.0,8.0,9.0,8.0,8.0,8.0,4.421052631578948,6.315789473684211,6.75,4.842105263157895,6.473684210526316
55.0,6.0,10.0,9.0,10.0,10.0,6.2105263157894735,7.052631578947368,7.0,7.111111111111111,6.777777777777778
56.0,10.0,10.0,8.0,9.0,5.0,7.5,6.8,6.5,6.9,7.0
57.0,6.0,10.0,9.0,10.0,10.0,5.3,7.7,6.9,5.9,5.7
58.0,,,,,,5.888888888888889,7.0,6.333333333333333,6.375,6.333333333333333
59.0,,,,,,5.4,7.25,6.5,3.75,4.0
60.0,7.0,9.0,9.0,9.0,9.0,4.8,7.0,6.4,6.5,6.0
61.0,7.0,10.0,10.0,7.0,7.0,3.9,7.1,7.555555555555555,5.3,5.7
62.0,9.0,9.0,9.0,9.0,9.0,8.3,7.1,7.6,7.0,6.5
63.0,6.0,8.0,8.0,9.0,7.0,4.4,6.5,7.0,6.2,5.888888888888889
64.0,8.0,8.0,9.0,6.0,9.0,5.3,6.2,7.4,5.6,6.5
65.0,7.0,9.0,8.0,9.0,9.0,6.5,7.3,7.0,7.8,6.2
66.0,6.0,7.0,8.0,7.0,8.0,5.444444444444445,7.555555555555555,7.222222222222222,6.222222222222222,6.625
67.0,5.0,7.0,7.0,6.0,7.0,6.555555555555555,8.0,8.0,6.333333333333333,7.0
68.0,6.0,8.0,8.0,7.0,8.0,5.5,5.8,7.8,4.9,6.0
69.0,5.0,9.0,8.0,5.0,8.0,7.3,7.6,7.9,7.1,7.111111111111111
70.0,8.0,6.0,9.0,8.0,6.0,6.0,7.444444444444445,8.555555555555555,8.0,8.444444444444445
71.0,6.0,8.0,10.0,8.0,10.0,5.0,8.222222222222221,7.777777777777778,5.222222222222222,7.333333333333333
72.0,7.0,9.0,8.0,8.0,8.0,6.4,7.4,6.5,5.0,5.6
73.0,7.0,7.0,7.0,8.0,8.0,6.111111111111111,7.666666666666667,7.888888888888889,7.555555555555555,8.25
74.0,7.0,9.0,8.0,9.0,7.0,5.3,7.3,7.6,6.0,7.2
75.0,7.0,7.0,8.0,8.0,8.0,5.222222222222222,7.666666666666667,8.11111111111111,5.444444444444445,7.25
76.0,6.0,6.0,8.0,6.0,4.0,6.222222222222222,6.944444444444445,7.833333333333333,7.647058823529412,6.533333333333333
77.0,6.0,8.0,8.0,8.0,8.0,6.833333333333333,7.235294117647059,7.277777777777778,6.529411764705882,6.333333333333333
78.0,3.0,10.0,8.0,3.0,8.0,6.472222222222222,6.882352941176471,6.694444444444445,5.411764705882353,5.25
79.0,7.0,9.0,7.0,8.0,7.0,5.888888888888889,7.833333333333333,7.777777777777778,6.882352941176471,6.25
80.0,8.0,8.0,8.0,8.0,8.0,6.388888888888889,7.944444444444445,7.555555555555555,5.78125,6.733333333333333
81.0,8.0,7.0,7.0,8.0,7.0,7.888888888888889,7.277777777777778,7.611111111111111,7.0,8.0
82.0,8.0,9.0,8.0,8.0,7.0,6.611111111111111,7.777777777777778,7.222222222222222,6.9411764705882355,5.9375
83.0,5.0,9.0,5.0,9.0,5.0,7.333333333333333,8.055555555555555,7.777777777777778,7.352941176470588,7.0625
84.0,7.0,9.0,8.0,7.0,5.0,6.777777777777778,7.666666666666667,7.805555555555555,6.911764705882353,6.875
85.0,7.0,9.0,8.0,9.0,9.0,6.388888888888889,7.722222222222222,7.333333333333333,6.352941176470588,6.2
86.0,7.0,9.0,9.0,9.0,4.0,7.333333333333333,7.888888888888889,8.0,7.666666666666667,7.266666666666667
87.0,9.0,9.0,9.0,9.0,9.0,7.5,7.166666666666667,7.111111111111111,6.9411764705882355,6.466666666666667
88.0,9.0,9.0,9.0,9.0,9.0,7.0,7.611111111111111,7.277777777777778,6.888888888888889,6.533333333333333
89.0,8.0,9.0,9.0,8.0,10.0,6.944444444444445,7.388888888888889,7.611111111111111,6.0,7.352941176470588
90.0,5.0,8.0,7.0,5.0,5.0,5.888888888888889,8.0,7.722222222222222,4.823529411764706,6.0625
91.0,6.0,7.0,9.0,7.0,8.0,8.38888888888889,8.0,8.222222222222221,7.764705882352941,8.1875
92.0,9.0,10.0,9.0,9.0,9.0,7.888888888888889,7.764705882352941,7.388888888888889,6.176470588235294,6.666666666666667
93.0,8.0,8.0,8.0,8.0,7.0,7.138888888888889,7.972222222222222,8.0,7.5,6.9
94.0,6.0,9.0,9.0,9.0,7.0,3.6666666666666665,5.352941176470588,6.888888888888889,5.722222222222222,7.529411764705882
95.0,7.0,9.0,10.0,8.0,7.0,4.666666666666667,6.888888888888889,7.0,5.388888888888889,6.722222222222222
96.0,7.0,9.0,9.0,9.0,9.0,4.388888888888889,7.166666666666667,7.388888888888889,5.111111111111111,7.0
97.0,7.0,5.0,6.0,7.0,6.0,7.166666666666667,7.055555555555555,8.11111111111111,7.0588235294117645,7.357142857142857
98.0,8.0,8.0,8.0,8.0,8.0,5.611111111111111,7.666666666666667,6.944444444444445,4.111111111111111,6.0588235294117645
99.0,10.0,10.0,10.0,10.0,8.0,7.833333333333333,7.666666666666667,7.888888888888889,7.5,7.647058823529412
100.0,7.0,8.0,9.0,8.0,6.0,4.555555555555555,7.944444444444445,8.0,5.823529411764706,7.6
101.0,8.0,8.0,9.0,8.0,9.0,4.0,7.611111111111111,7.666666666666667,4.588235294117647,7.0
102.0,8.0,5.0,10.0,7.0,9.0,4.111111111111111,7.176470588235294,7.277777777777778,4.764705882352941,6.25
103.0,8.0,8.0,9.0,8.0,9.0,6.222222222222222,7.176470588235294,6.944444444444445,6.4375,7.176470588235294
104.0,9.0,8.0,9.0,7.0,9.0,6.9411764705882355,6.888888888888889,7.444444444444445,6.888888888888889,7.0
105.0,8.0,7.0,8.0,9.0,6.0,6.277777777777778,7.888888888888889,8.166666666666666,8.055555555555555,7.647058823529412
106.0,4.0,7.0,9.0,3.0,2.0,5.111111111111111,7.666666666666667,7.722222222222222,6.647058823529412,6.9411764705882355
107.0,7.0,9.0,9.0,9.0,6.0,6.888888888888889,8.055555555555555,8.0,8.11111111111111,7.4375
108.0,4.0,8.0,7.0,3.0,2.0,7.166666666666667,7.0,7.5,6.777777777777778,6.944444444444445
109.0,6.0,9.0,9.0,8.0,8.0,5.833333333333333,7.555555555555555,7.944444444444445,7.222222222222222,7.277777777777778
110.0,7.0,9.0,8.0,8.0,7.0,5.5,6.411764705882353,7.055555555555555,6.833333333333333,7.235294117647059
111.0,5.0,8.0,8.0,5.0,5.0,4.777777777777778,7.222222222222222,7.5,6.5,7.117647058823529
112.0,9.0,10.0,9.0,9.0,9.0,7.9,7.3,7.5,7.0,6.2
113.0,8.0,10.0,8.0,10.0,9.0,6.4,6.7,7.0,6.6,6.0
114.0,7.0,9.0,6.0,8.0,7.0,5.0,6.8,7.1,5.5,6.111111111111111
115.0,8.0,7.0,9.0,8.0,8.0,7.222222222222222,6.333333333333333,6.555555555555555,7.222222222222222,6.444444444444445
116.0,8.0,9.0,9.0,8.0,9.0,6.7,6.777777777777778,6.5,6.3,6.3
117.0,8.0,7.0,8.0,8.0,8.0,7.777777777777778,7.222222222222222,7.444444444444445,7.444444444444445,7.444444444444445
119.0,8.0,10.0,10.0,10.0,10.0,7.9,7.6,7.0,6.8,6.7
120.0,6.0,8.0,8.0,8.0,9.0,7.8,6.6,7.5,7.3,6.9
121.0,2.0,9.0,7.0,9.0,9.0,4.8,6.5,7.2,4.8,5.4
122.0,7.0,10.0,8.0,8.0,8.0,7.777777777777778,8.777777777777779,8.222222222222221,8.444444444444445,7.333333333333333
123.0,8.0,7.0,7.0,7.0,8.0,6.375,8.666666666666666,7.222222222222222,5.777777777777778,6.888888888888889
124.0,8.0,8.0,10.0,10.0,10.0,3.7777777777777777,5.666666666666667,6.888888888888889,2.625,8.444444444444445
125.0,9.0,6.0,9.0,10.0,10.0,8.0,8.333333333333334,8.555555555555555,8.444444444444445,8.222222222222221
126.0,9.0,10.0,9.0,9.0,9.0,6.111111111111111,8.0,8.555555555555555,6.777777777777778,7.888888888888889
127.0,8.0,8.0,9.0,9.0,8.0,7.333333333333333,5.888888888888889,6.111111111111111,6.111111111111111,6.111111111111111
128.0,8.0,7.0,8.0,7.0,7.0,7.555555555555555,8.444444444444445,8.125,6.875,6.625
129.0,8.0,8.0,8.0,8.0,8.0,6.222222222222222,7.888888888888889,6.222222222222222,6.625,6.444444444444445
130.0,5.0,6.0,6.0,6.0,6.0,7.333333333333333,8.777777777777779,7.666666666666667,6.555555555555555,6.777777777777778
131.0,4.0,6.0,6.0,4.0,6.0,4.428571428571429,7.857142857142857,6.714285714285714,4.0,6.333333333333333
132.0,8.0,10.0,9.0,10.0,10.0,7.8,7.25,7.0,7.2,7.2
133.0,6.0,8.0,8.0,7.0,7.0,5.2,9.0,9.0,7.2,7.4
134.0,7.0,8.0,8.0,8.0,8.0,6.5,8.4,8.3,6.2,6.8
135.0,9.0,10.0,9.0,7.0,6.0,6.3,7.75,7.5,5.8,6.4
136.0,,,,,,5.8,7.2,8.25,7.2,8.0
137.0,7.0,9.0,9.0,8.0,8.0,7.6,7.6,7.25,8.5,7.5
138.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.6,8.25,8.25
139.0,8.0,8.0,9.0,9.0,6.0,5.6,7.0,7.5,5.8,7.0
140.0,7.0,7.0,8.0,9.0,8.0,8.0,8.2,8.2,8.4,8.75
141.0,7.0,9.0,8.0,8.0,6.0,5.8,6.75,6.75,7.2,6.8
142.0,9.0,9.0,10.0,9.0,7.0,7.3125,7.1875,7.6875,6.6875,6.538461538461538
143.0,7.0,10.0,8.0,7.0,7.0,4.666666666666667,7.6875,7.4375,5.0,6.928571428571429
144.0,7.0,8.0,9.0,8.0,9.0,6.866666666666666,7.6,8.2,7.4,6.571428571428571
145.0,5.0,5.0,9.0,7.0,7.0,5.4375,7.375,7.875,6.0625,6.571428571428571
146.0,8.0,8.0,8.0,8.0,8.0,5.5,7.125,7.6,5.375,6.2
147.0,8.0,7.0,9.0,8.0,7.0,6.75,7.125,7.133333333333334,8.0,6.533333333333333
148.0,8.0,9.0,9.0,9.0,8.0,7.0625,7.0,7.3125,6.5,7.0
149.0,8.0,8.0,8.0,8.0,8.0,7.3125,7.0625,7.4375,6.5,6.857142857142857
150.0,7.0,9.0,9.0,8.0,8.0,7.25,8.0625,8.375,7.1875,7.2
151.0,9.0,10.0,10.0,10.0,8.0,8.6875,8.125,7.466666666666667,7.75,6.857142857142857
152.0,7.0,9.0,10.0,8.0,8.0,7.125,7.9375,7.866666666666666,5.6,6.6923076923076925
153.0,7.0,7.0,7.0,6.0,6.0,6.3125,7.8125,7.1875,5.5,6.461538461538462
154.0,8.0,9.0,9.0,9.0,9.0,7.75,7.75,7.5,7.2,7.571428571428571
155.0,7.0,10.0,8.0,6.0,9.0,7.1875,7.5,7.0625,6.733333333333333,6.428571428571429
156.0,8.0,10.0,9.0,10.0,10.0,7.0,7.875,8.0,7.125,7.933333333333334
157.0,7.0,8.0,8.0,9.0,9.0,7.625,7.3125,7.375,7.4375,7.6923076923076925
158.0,7.0,9.0,9.0,7.0,6.0,4.5625,6.25,7.5,4.2,6.785714285714286
159.0,5.0,9.0,9.0,8.0,7.0,4.125,7.1875,8.0,5.875,7.166666666666667
160.0,8.0,8.0,8.0,9.0,9.0,7.375,7.375,7.4375,8.0,7.875
161.0,8.0,7.0,9.0,9.0,7.0,7.75,7.4375,8.0,7.8,7.285714285714286
162.0,7.0,8.0,9.0,7.0,8.0,5.75,6.75,7.875,5.866666666666666,7.2
163.0,7.0,8.0,9.0,8.0,7.0,6.875,7.6875,7.6875,7.25,7.0
164.0,7.0,9.0,9.0,6.0,4.0,6.6875,7.8125,8.125,7.0,6.857142857142857
165.0,8.0,6.0,9.0,7.0,2.0,7.375,7.0625,6.8125,5.6,5.785714285714286
166.0,7.0,7.0,7.0,7.0,7.0,6.875,6.5625,7.0625,6.3125,7.384615384615385
167.0,6.0,7.0,7.0,7.0,5.0,5.9375,6.8125,7.4375,6.75,6.5
168.0,5.0,5.0,5.0,5.0,5.0,4.875,7.375,7.6875,6.4,6.571428571428571
169.0,7.0,9.0,8.0,7.0,7.0,8.0625,8.0625,8.375,7.6875,7.571428571428571
170.0,7.0,8.0,9.0,6.0,8.0,4.4375,7.3125,8.125,5.0,7.642857142857143
171.0,10.0,10.0,10.0,10.0,10.0,5.8125,7.75,8.1875,6.0,7.5
172.0,5.0,6.0,8.0,9.0,9.0,6.9375,7.9375,8.0625,7.625,8.066666666666666
173.0,7.0,9.0,9.0,9.0,9.0,6.125,7.4375,8.125,7.4375,7.285714285714286
174.0,9.0,10.0,8.0,8.0,6.0,4.9,7.6,7.222222222222222,5.875,5.333333333333333
175.0,7.0,10.0,8.0,8.0,9.0,5.8,7.555555555555555,7.6,6.0,6.555555555555555
176.0,6.0,9.0,8.0,7.0,6.0,7.111111111111111,7.875,7.777777777777778,5.333333333333333,7.555555555555555
177.0,9.0,9.0,9.0,8.0,9.0,4.9,7.125,7.0,7.0,7.333333333333333
178.0,9.0,9.0,8.0,7.0,7.0,4.555555555555555,7.666666666666667,7.444444444444445,6.0,6.857142857142857
179.0,8.0,10.0,8.0,6.0,10.0,8.0,7.8,8.3,8.2,7.777777777777778
180.0,9.0,9.0,9.0,10.0,9.0,7.555555555555555,7.777777777777778,7.333333333333333,7.222222222222222,7.0
181.0,9.0,9.0,9.0,9.0,9.0,7.333333333333333,8.444444444444445,7.5,7.0,7.25
182.0,8.0,8.0,8.0,8.0,10.0,5.222222222222222,7.555555555555555,7.333333333333333,6.666666666666667,7.5
183.0,9.0,7.0,9.0,9.0,7.0,6.1,6.777777777777778,6.888888888888889,6.2,6.0
184.0,6.0,10.0,9.0,7.0,5.0,6.2,7.5,7.3,6.5,7.111111111111111
185.0,10.0,10.0,8.0,7.0,8.0,5.0,5.8,6.2,5.4,6.333333333333333
186.0,4.0,8.0,7.0,4.0,6.0,5.3,7.3,7.6,6.0,6.555555555555555
187.0,8.0,9.0,10.0,7.0,7.0,4.7,6.0,6.2,5.6,5.75
188.0,7.0,5.0,10.0,7.0,10.0,4.4,6.3,6.5,6.1,6.444444444444445
189.0,8.0,8.0,8.0,8.0,9.0,5.4,7.2,7.0,5.8,6.444444444444445
190.0,7.0,7.0,7.0,7.0,7.0,6.7,6.5,6.9,7.9,6.7
191.0,7.0,7.0,7.0,6.0,8.0,6.5,7.2,7.2,7.2,7.5
192.0,7.0,10.0,9.0,9.0,10.0,6.5,6.5,7.2,7.5,7.111111111111111
193.0,7.0,9.0,10.0,5.0,7.0,6.1,7.2,7.5,7.111111111111111,7.333333333333333
194.0,9.0,10.0,10.0,8.0,10.0,4.55,5.85,5.947368421052632,4.95,5.4
195.0,9.0,8.0,10.0,10.0,8.0,6.65,7.0,7.5,7.2,5.9
196.0,9.0,9.0,9.0,9.0,9.0,6.35,6.95,6.65,4.75,5.25
197.0,7.0,8.0,9.0,9.0,7.0,6.85,6.95,7.3,6.45,6.5
198.0,7.0,9.0,9.0,7.0,7.0,4.6,6.6,6.35,4.5,5.6
199.0,9.0,7.0,9.0,7.0,9.0,7.3,5.85,6.8,6.05,6.15
200.0,8.0,10.0,8.0,8.0,8.0,7.55,7.05,7.1,6.8,7.05
201.0,7.0,8.0,9.0,9.0,8.0,6.6,7.3,7.35,6.45,6.45
202.0,7.0,10.0,10.0,9.0,8.0,5.75,6.95,7.65,6.05,6.5
203.0,9.0,8.0,10.0,9.0,7.0,6.95,7.4,8.0,6.4,6.3
204.0,9.0,5.0,10.0,9.0,10.0,5.75,6.1,6.5,6.4,6.9
205.0,7.0,8.0,10.0,9.0,5.0,6.25,6.55,6.85,5.8,5.95
206.0,8.0,8.0,8.0,8.0,8.0,5.95,7.55,7.65,6.5,6.7
207.0,8.0,8.0,8.0,10.0,9.0,8.45,6.65,6.8,8.15,6.85
208.0,9.0,10.0,10.0,10.0,10.0,7.7,7.65,7.35,7.85,7.05
209.0,7.0,9.0,7.0,8.0,8.0,5.45,7.3,6.85,6.2,6.35
210.0,8.0,8.0,9.0,6.0,9.0,6.1,7.2,7.45,6.45,6.25
211.0,7.0,9.0,9.0,9.0,9.0,7.2,6.55,6.9,5.8,6.55
212.0,7.0,9.0,8.0,7.0,9.0,6.95,7.5,7.45,7.35,6.65
213.0,8.0,10.0,9.0,9.0,9.0,7.1,7.3,7.1,6.95,6.75
214.0,8.0,10.0,9.0,10.0,8.0,5.7,7.45,7.7,6.631578947368421,7.421052631578948
215.0,7.0,8.0,9.0,9.0,9.0,6.9,7.526315789473684,8.0,7.631578947368421,8.3
216.0,5.0,10.0,9.0,9.0,10.0,3.6,6.55,7.05,6.15,7.0
217.0,7.0,10.0,10.0,7.0,10.0,7.8,7.7894736842105265,9.15,6.833333333333333,8.842105263157896
218.0,7.0,6.0,10.0,3.0,10.0,5.4,7.473684210526316,8.055555555555555,5.277777777777778,8.25
219.0,7.0,7.0,9.0,6.0,6.0,7.4,7.7894736842105265,8.0,7.764705882352941,7.764705882352941
220.0,10.0,10.0,10.0,10.0,10.0,5.25,8.15,8.35,7.055555555555555,7.7894736842105265
221.0,7.0,9.0,9.0,7.0,9.0,6.05,7.75,8.2,6.0588235294117645,7.25
222.0,4.0,9.0,9.0,7.0,4.0,3.2,7.444444444444445,8.157894736842104,4.157894736842105,5.833333333333333
223.0,7.0,8.0,9.0,7.0,6.0,5.35,7.85,7.65,5.526315789473684,7.222222222222222
224.0,8.0,10.0,8.0,8.0,8.0,5.95,8.05,8.35,6.0,7.647058823529412
225.0,5.0,9.0,6.0,7.0,7.0,6.1,7.95,7.95,7.2105263157894735,7.65
226.0,10.0,10.0,10.0,10.0,10.0,8.6,7.75,7.9,7.888888888888889,8.0
227.0,7.0,10.0,10.0,8.0,10.0,6.95,7.3,7.2,6.888888888888889,7.473684210526316
228.0,5.0,8.0,7.0,4.0,8.0,5.55,8.05,8.31578947368421,5.3,7.4375
229.0,8.0,7.0,10.0,5.0,10.0,7.3,7.2105263157894735,8.25,7.2631578947368425,8.277777777777779
230.0,6.0,6.0,6.0,6.0,6.0,5.7,7.0,6.666666666666667,6.45,6.947368421052632
231.0,8.0,8.0,9.0,8.0,3.0,5.95,7.0,7.3,7.052631578947368,7.588235294117647
232.0,8.0,8.0,8.0,8.0,6.0,5.0,7.7894736842105265,7.473684210526316,5.473684210526316,6.882352941176471
233.0,7.0,8.0,7.0,8.0,8.0,5.578947368421052,7.444444444444445,7.578947368421052,6.882352941176471,7.823529411764706
234.0,7.0,7.0,8.0,8.0,10.0,5.888888888888889,7.888888888888889,7.111111111111111,6.75,7.285714285714286
235.0,6.0,9.0,8.0,9.0,9.0,7.888888888888889,7.555555555555555,7.0,7.444444444444445,5.857142857142857
236.0,7.0,9.0,8.0,10.0,8.0,5.555555555555555,6.888888888888889,7.25,4.111111111111111,5.857142857142857
237.0,8.0,10.0,8.0,7.0,8.0,5.333333333333333,7.666666666666667,7.444444444444445,5.888888888888889,6.166666666666667
238.0,10.0,9.0,9.0,10.0,8.0,6.666666666666667,7.555555555555555,7.111111111111111,6.75,7.125
239.0,7.0,9.0,9.0,7.0,4.0,5.777777777777778,7.555555555555555,7.222222222222222,5.333333333333333,5.5
240.0,3.0,8.0,3.0,5.0,6.0,6.777777777777778,7.111111111111111,7.0,8.0,7.333333333333333
241.0,8.0,10.0,8.0,8.0,8.0,6.666666666666667,7.666666666666667,6.888888888888889,7.444444444444445,7.142857142857143
242.0,7.0,9.0,8.0,7.0,4.0,8.0,7.333333333333333,7.444444444444445,7.111111111111111,5.888888888888889
243.0,7.0,9.0,9.0,8.0,5.0,5.666666666666667,6.555555555555555,7.444444444444445,5.666666666666667,5.444444444444445
244.0,7.0,10.0,10.0,7.0,10.0,6.333333333333333,7.222222222222222,7.0,6.666666666666667,7.777777777777778
245.0,5.0,7.0,8.0,6.0,7.0,4.777777777777778,6.333333333333333,8.555555555555555,5.777777777777778,7.333333333333333
246.0,7.0,8.0,7.0,6.0,6.0,4.111111111111111,7.444444444444445,6.444444444444445,5.444444444444445,5.75
247.0,5.0,10.0,8.0,2.0,4.0,4.0,7.666666666666667,7.555555555555555,4.666666666666667,6.333333333333333
248.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,6.666666666666667,7.666666666666667,7.666666666666667
249.0,7.0,9.0,10.0,7.0,7.0,4.222222222222222,6.777777777777778,7.375,5.555555555555555,7.888888888888889
250.0,10.0,9.0,10.0,9.0,10.0,6.777777777777778,6.666666666666667,8.0,6.888888888888889,8.444444444444445
251.0,8.0,10.0,10.0,9.0,9.0,4.777777777777778,7.333333333333333,7.555555555555555,5.555555555555555,5.857142857142857
252.0,9.0,9.0,9.0,9.0,10.0,6.833333333333333,7.761904761904762,7.25,7.142857142857143,6.894736842105263
253.0,8.0,10.0,8.0,9.0,7.0,3.857142857142857,6.25,6.842105263157895,4.65,5.833333333333333
254.0,8.0,7.0,10.0,8.0,8.0,5.809523809523809,7.1,7.9,6.25,6.75
255.0,6.0,8.0,7.0,6.0,6.0,5.714285714285714,6.2,6.05,5.0,5.55
256.0,6.0,9.0,8.0,6.0,6.0,6.571428571428571,7.2,7.55,6.333333333333333,6.894736842105263
257.0,7.0,9.0,9.0,7.0,10.0,6.857142857142857,7.0,6.7,6.45,6.5
258.0,6.0,10.0,9.0,8.0,5.0,6.904761904761905,7.25,7.190476190476191,6.9,6.555555555555555
259.0,7.0,9.0,8.0,8.0,9.0,6.55,6.052631578947368,7.4,5.842105263157895,6.833333333333333
260.0,6.0,9.0,9.0,7.0,6.0,5.619047619047619,6.85,7.55,6.0,6.833333333333333
261.0,5.0,8.0,7.0,7.0,8.0,5.285714285714286,6.35,7.190476190476191,5.55,5.842105263157895
262.0,6.0,10.0,9.0,5.0,3.0,5.380952380952381,7.45,7.6,5.904761904761905,6.055555555555555
263.0,8.0,8.0,8.0,8.0,5.0,5.857142857142857,7.142857142857143,7.55,7.285714285714286,6.421052631578948
264.0,8.0,7.0,9.0,8.0,5.0,6.095238095238095,6.9,7.15,6.3,6.277777777777778
